bs	ic	height	width	oc	stride	ksize	mode
1	3	32	32	1	1	1	0
2	3	32	32	1	1	1	0
3	3	32	32	1	1	1	0
4	3	32	32	1	1	1	0
1	3	32	32	1	1	2	0
2	3	32	32	1	1	2	0
3	3	32	32	1	1	2	0
4	3	32	32	1	1	2	0
1	3	32	32	1	2	2	0
2	3	32	32	1	2	2	0
3	3	32	32	1	2	2	0
4	3	32	32	1	2	2	0
1	3	32	32	1	1	3	0
2	3	32	32	1	1	3	0
3	3	32	32	1	1	3	0
4	3	32	32	1	1	3	0
1	3	32	32	1	2	3	0
2	3	32	32	1	2	3	0
3	3	32	32	1	2	3	0
4	3	32	32	1	2	3	0
1	3	32	32	1	3	3	0
2	3	32	32	1	3	3	0
3	3	32	32	1	3	3	0
4	3	32	32	1	3	3	0
1	3	32	32	1	1	4	0
2	3	32	32	1	1	4	0
3	3	32	32	1	1	4	0
4	3	32	32	1	1	4	0
1	3	32	32	1	2	4	0
2	3	32	32	1	2	4	0
3	3	32	32	1	2	4	0
4	3	32	32	1	2	4	0
1	3	32	32	1	3	4	0
2	3	32	32	1	3	4	0
3	3	32	32	1	3	4	0
4	3	32	32	1	3	4	0
1	3	32	32	1	4	4	0
2	3	32	32	1	4	4	0
3	3	32	32	1	4	4	0
4	3	32	32	1	4	4	0
1	3	32	32	1	1	5	0
2	3	32	32	1	1	5	0
3	3	32	32	1	1	5	0
4	3	32	32	1	1	5	0
1	3	32	32	1	2	5	0
2	3	32	32	1	2	5	0
3	3	32	32	1	2	5	0
4	3	32	32	1	2	5	0
1	3	32	32	1	3	5	0
2	3	32	32	1	3	5	0
3	3	32	32	1	3	5	0
4	3	32	32	1	3	5	0
1	3	32	32	1	4	5	0
2	3	32	32	1	4	5	0
3	3	32	32	1	4	5	0
4	3	32	32	1	4	5	0
1	3	32	32	1	5	5	0
2	3	32	32	1	5	5	0
3	3	32	32	1	5	5	0
4	3	32	32	1	5	5	0
1	3	32	32	1	1	6	0
2	3	32	32	1	1	6	0
3	3	32	32	1	1	6	0
4	3	32	32	1	1	6	0
1	3	32	32	1	2	6	0
2	3	32	32	1	2	6	0
3	3	32	32	1	2	6	0
4	3	32	32	1	2	6	0
1	3	32	32	1	3	6	0
2	3	32	32	1	3	6	0
3	3	32	32	1	3	6	0
4	3	32	32	1	3	6	0
1	3	32	32	1	4	6	0
2	3	32	32	1	4	6	0
3	3	32	32	1	4	6	0
4	3	32	32	1	4	6	0
1	3	32	32	1	5	6	0
2	3	32	32	1	5	6	0
3	3	32	32	1	5	6	0
4	3	32	32	1	5	6	0
1	3	32	32	1	6	6	0
2	3	32	32	1	6	6	0
3	3	32	32	1	6	6	0
4	3	32	32	1	6	6	0
1	3	32	32	1	1	7	0
2	3	32	32	1	1	7	0
3	3	32	32	1	1	7	0
4	3	32	32	1	1	7	0
1	3	32	32	1	2	7	0
2	3	32	32	1	2	7	0
3	3	32	32	1	2	7	0
4	3	32	32	1	2	7	0
1	3	32	32	1	3	7	0
2	3	32	32	1	3	7	0
3	3	32	32	1	3	7	0
4	3	32	32	1	3	7	0
1	3	32	32	1	4	7	0
2	3	32	32	1	4	7	0
3	3	32	32	1	4	7	0
4	3	32	32	1	4	7	0
1	3	32	32	1	5	7	0
2	3	32	32	1	5	7	0
3	3	32	32	1	5	7	0
4	3	32	32	1	5	7	0
1	3	32	32	1	6	7	0
2	3	32	32	1	6	7	0
3	3	32	32	1	6	7	0
4	3	32	32	1	6	7	0
1	3	32	32	1	7	7	0
2	3	32	32	1	7	7	0
3	3	32	32	1	7	7	0
4	3	32	32	1	7	7	0
1	3	32	32	2	1	1	0
2	3	32	32	2	1	1	0
3	3	32	32	2	1	1	0
4	3	32	32	2	1	1	0
1	3	32	32	2	1	2	0
2	3	32	32	2	1	2	0
3	3	32	32	2	1	2	0
4	3	32	32	2	1	2	0
1	3	32	32	2	2	2	0
2	3	32	32	2	2	2	0
3	3	32	32	2	2	2	0
4	3	32	32	2	2	2	0
1	3	32	32	2	1	3	0
2	3	32	32	2	1	3	0
3	3	32	32	2	1	3	0
4	3	32	32	2	1	3	0
1	3	32	32	2	2	3	0
2	3	32	32	2	2	3	0
3	3	32	32	2	2	3	0
4	3	32	32	2	2	3	0
1	3	32	32	2	3	3	0
2	3	32	32	2	3	3	0
3	3	32	32	2	3	3	0
